# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items	category
GO:0007229	BP	e	integrin-mediated signaling pathway	21/970	93/19370	6.949722770314672e-07	6	21	0.00042538334406934185	102, 1307, 2335, 2530, 3655, 3672, 3673, 3675, 3676, 3678, 3679, 3685, 3688, 3693, 3911, 5786, 7094, 8482, 8754, 8829, 9510	A375 Melanoma cells
GO:0007156	BP	e	homophilic cell adhesion via plasma membrane adhesion molecules	39/970	165/19370	7.237927585039849e-07	5	39	0.00042538334406934185	682, 1000, 1010, 1012, 1824, 1829, 1952, 2195, 3688, 3897, 5097, 5098, 5099, 5818, 5819, 9620, 22883, 23654, 25945, 26025, 28513, 55714, 56099, 56101, 56104, 56106, 56108, 56113, 56114, 56132, 56133, 56137, 56138, 56143, 56146, 57575, 57717, 83872, 120114	A375 Melanoma cells
GO:0007411	BP	e	axon guidance	32/970	166/19370	8.123616253622103e-07	4	32	0.0004557348718282	682, 1605, 1948, 1969, 2042, 2043, 2045, 2047, 2048, 2049, 2050, 2909, 3799, 3897, 3911, 4851, 4853, 4897, 5818, 7869, 8482, 8828, 8829, 9353, 10371, 10381, 10501, 10507, 10512, 23767, 54910, 55740	A375 Melanoma cells
GO:0031532	BP	e	actin cytoskeleton reorganization	15/970	59/19370	9.150341211661344e-07	7	15	0.00048666893497963137	301, 1525, 2017, 2059, 2241, 2316, 2885, 5770, 5898, 6464, 7430, 8572, 8829, 27032, 59341	A375 Melanoma cells
GO:0006457	BP	e	protein folding	24/970	135/19370	9.463664267955885e-07	2	24	0.00048666893497963137	811, 908, 2288, 2923, 3301, 3312, 3320, 3326, 3998, 5034, 5204, 5479, 5768, 6102, 6902, 6950, 7184, 7203, 9529, 9531, 10130, 10726, 30001, 51364	A375 Melanoma cells
GO:0098761	BP	e	cellular response to interleukin-7	7/970	13/19370	1.0170100354754286e-06	6	7	0.0005020775143135097	471, 1399, 2923, 4904, 5034, 5887, 10963	A375 Melanoma cells
GO:0006897	BP	e	endocytosis	27/970	191/19370	1.0739807437488107e-06	5	27	0.0005098103976672238	160, 351, 1173, 1454, 1456, 1785, 3949, 3959, 4038, 4041, 4864, 5167, 5861, 5868, 6272, 6643, 7879, 9902, 23433, 26020, 29763, 29967, 50618, 57403, 58513, 83871, 84171	A375 Melanoma cells
GO:0050919	BP	e	negative chemotaxis	12/970	37/19370	1.2073216562282613e-06	4	12	0.0005518801437470074	2045, 3685, 7869, 8482, 8828, 9353, 10371, 10501, 10507, 10512, 23767, 54910	A375 Melanoma cells
GO:0030198	BP	e	extracellular matrix organization	23/970	148/19370	1.270791307513807e-06	5	23	0.0005601466541905503	351, 1277, 1280, 1284, 1288, 1289, 1307, 2683, 3491, 4313, 4323, 4324, 4325, 4763, 4791, 5045, 7045, 8190, 9510, 10549, 30001, 50509, 83716	A375 Melanoma cells
GO:0030335	BP	e	positive regulation of cell migration	47/970	229/19370	1.4229193851875675e-06	7	47	0.0005808138190660162	81, 90, 102, 1012, 1277, 1364, 1956, 2048, 2241, 2321, 2771, 3309, 3480, 3491, 3643, 3655, 3685, 3688, 3912, 4067, 4162, 4249, 4323, 4851, 5159, 6386, 6810, 6868, 7057, 7205, 7869, 8482, 8650, 8660, 8754, 9043, 10253, 10371, 10457, 10501, 10507, 10512, 11235, 23587, 54910, 57214, 91663	A375 Melanoma cells
GO:0007568	BP	e	aging	27/970	171/19370	1.4244758041090743e-06	2	27	0.0005808138190660162	490, 847, 1075, 1267, 1284, 1495, 1605, 1938, 1965, 2885, 2937, 3485, 4035, 4791, 5159, 5970, 6185, 6558, 6720, 7048, 7076, 8678, 9104, 9516, 10533, 27101, 131601	A375 Melanoma cells
GO:0007155	BP	e	cell adhesion	90/970	487/19370	1.4588582394301171e-06	2	90	0.0005808138190660162	351, 394, 563, 960, 1000, 1288, 1289, 1293, 1303, 1307, 1364, 1495, 1824, 1829, 1948, 1969, 2022, 2042, 2043, 2050, 2195, 2241, 2335, 2683, 3371, 3383, 3491, 3673, 3678, 3685, 3688, 3897, 3910, 3912, 3921, 3959, 4045, 4162, 4684, 4921, 5067, 5097, 5098, 5099, 5792, 5796, 5818, 5829, 6695, 6696, 6868, 7045, 7057, 7162, 7301, 7414, 8506, 8754, 8828, 9223, 9289, 10076, 10085, 10225, 10457, 10507, 11117, 22883, 22997, 26025, 26032, 50937, 56099, 56101, 56104, 56106, 56108, 56113, 56114, 56132, 56133, 56137, 56138, 56143, 56146, 57575, 57717, 140885, 199731, 341640	A375 Melanoma cells
GO:0001525	BP	e	angiogenesis	30/970	233/19370	2.046432477375194e-06	3	30	0.0007653657465383226	90, 182, 290, 682, 1284, 1464, 2022, 2047, 2048, 2049, 2050, 2316, 2321, 2335, 3339, 3678, 3685, 4162, 4313, 4323, 4897, 6464, 7045, 8828, 8829, 9289, 11235, 23129, 23670, 51752	A375 Melanoma cells
GO:0071260	BP	e	cellular response to mechanical stimulus	16/970	81/19370	2.159704679695747e-06	5	16	0.0007839727987295562	396, 476, 1277, 1605, 1956, 2022, 2805, 3673, 3759, 6548, 7132, 8795, 9531, 9780, 54407, 136319	A375 Melanoma cells
GO:0006509	BP	e	membrane protein ectodomain proteolysis	8/970	20/19370	2.823480632908482e-06	7	8	0.0009956399420387569	102, 1605, 5664, 6868, 8728, 8754, 23621, 51752	A375 Melanoma cells
GO:0034446	BP	e	substrate adhesion-dependent cell spreading	13/970	56/19370	2.9173576310375942e-06	5	13	0.0010001674411740553	2049, 2241, 2335, 3676, 3685, 3911, 3912, 5829, 5861, 7301, 8829, 9928, 23380	A375 Melanoma cells
GO:0006508	BP	e	proteolysis	44/970	414/19370	3.124101391644831e-06	5	44	0.0010403546828667918	290, 327, 649, 726, 824, 1075, 1200, 1508, 1514, 1522, 2686, 2923, 3083, 4012, 4313, 4323, 4324, 4325, 4898, 5327, 5340, 5476, 5550, 5641, 5693, 6422, 6868, 7037, 7064, 8720, 8722, 8836, 9510, 9520, 9581, 10269, 23173, 23621, 25797, 29953, 51056, 51752, 57211, 59342	A375 Melanoma cells
GO:0043066	BP	e	negative regulation of apoptotic process	49/970	473/19370	3.2031662574086934e-06	7	49	0.0010403546828667918	102, 301, 308, 396, 847, 960, 972, 1642, 1956, 2316, 2932, 2950, 3301, 3309, 3480, 3491, 3572, 4103, 4282, 4359, 4853, 5159, 5347, 5538, 5621, 5664, 5970, 6189, 6195, 6422, 6464, 6548, 7001, 7037, 7057, 7076, 7110, 7184, 7416, 8678, 8887, 9104, 9531, 9928, 10253, 10507, 11235, 51074, 83737	A375 Melanoma cells
GO:0150104	BP	e	transport across blood-brain barrier	16/970	84/19370	3.566018909138852e-06	6	16	0.0011002951344147927	493, 3643, 4035, 6505, 6510, 6515, 6526, 6558, 6566, 7037, 8140, 8671, 54407, 81539, 84879, 114134	A375 Melanoma cells
GO:0001942	BP	e	hair follicle development	10/970	34/19370	4.132437972805643e-06	4	10	0.0012439646209845671	91, 1956, 3911, 4038, 5970, 8323, 10269, 50814, 55366, 135228	A375 Melanoma cells
GO:0006886	BP	e	intracellular protein transport	33/970	279/19370	4.785449224884186e-06	6	33	0.0013860699915970679	160, 163, 972, 1173, 2017, 5476, 5861, 5868, 6643, 6810, 6814, 8417, 8615, 8675, 8934, 9181, 9276, 10139, 10228, 10972, 11196, 22820, 22931, 23637, 23673, 51552, 54732, 57403, 64786, 79971, 81609, 81622, 81876	A375 Melanoma cells
GO:0048013	BP	e	ephrin receptor signaling pathway	12/970	50/19370	4.829120858748494e-06	8	12	0.0013860699915970679	1948, 1969, 2042, 2043, 2045, 2047, 2048, 2049, 2050, 4067, 4313, 7525	A375 Melanoma cells
GO:0070372	BP	e	regulation of ERK1 and ERK2 cascade	9/970	28/19370	5.56090756540846e-06	8	9	0.0015598345720970732	1956, 1969, 2045, 2047, 2335, 2950, 3491, 4067, 51074	A375 Melanoma cells
GO:0034975	BP	e	protein folding in endoplasmic reticulum	6/970	11/19370	5.775379361799321e-06	3	6	0.0015839940462961605	811, 2923, 3309, 5034, 7184, 30001	A375 Melanoma cells
GO:0042493	BP	e	response to drug	33/970	284/19370	6.6416726835458174e-06	3	33	0.0017483340132288929	143, 301, 476, 567, 811, 847, 1277, 1503, 1938, 2022, 3326, 3383, 3485, 3673, 3675, 3939, 4067, 4131, 4864, 5066, 5198, 5447, 5970, 6185, 6422, 6720, 6772, 6868, 7048, 7057, 8678, 8836, 10512	A375 Melanoma cells
GO:0050821	BP	e	protein stabilization	25/970	186/19370	6.657891640071138e-06	4	25	0.0017483340132288929	483, 811, 908, 1022, 2043, 2316, 2597, 3320, 3326, 3916, 5216, 5479, 6201, 6950, 7203, 7874, 9349, 9529, 9531, 9919, 11235, 11261, 23673, 54997, 112770	A375 Melanoma cells
GO:0072659	BP	e	protein localization to plasma membrane	22/970	154/19370	8.78299141954721e-06	6	22	0.0022583266687510764	483, 682, 975, 1000, 1969, 2316, 3911, 4040, 7132, 7162, 7430, 9351, 9370, 9919, 10098, 11187, 23167, 51304, 54997, 81619, 83871, 91663	A375 Melanoma cells
GO:0050731	BP	e	positive regulation of peptidyl-tyrosine phosphorylation	16/970	90/19370	9.041580774312836e-06	10	16	0.002277371222787123	90, 960, 972, 975, 1464, 3383, 3678, 4038, 4282, 5621, 5795, 7525, 8829, 9181, 9370, 10507	A375 Melanoma cells
GO:0019886	BP	e	antigen processing and presentation of exogenous peptide antigen via MHC class II	9/970	30/19370	1.0521638082054382e-05	5	9	0.0025971611441743033	567, 972, 1514, 1785, 3113, 3115, 3122, 5641, 8722	A375 Melanoma cells
GO:0006888	BP	e	endoplasmic reticulum to Golgi vesicle-mediated transport	18/970	112/19370	1.1030716321977154e-05	6	18	0.00266943334991847	3998, 5861, 6845, 7415, 8615, 9218, 9276, 9919, 10652, 10960, 10972, 11015, 11196, 11316, 22820, 54732, 81876, 553115	A375 Melanoma cells
GO:0006622	BP	e	protein targeting to lysosome	7/970	18/19370	1.51181919009159e-05	9	7	0.0035882447007904625	950, 4734, 6272, 7879, 8031, 9765, 27183	A375 Melanoma cells
GO:0034605	BP	e	cellular response to heat	11/970	47/19370	1.552460331591383e-05	5	11	0.0036151821533020475	1965, 3320, 3326, 4067, 4137, 7057, 7415, 7531, 9531, 59341, 170506	A375 Melanoma cells
GO:1904646	BP	e	cellular response to amyloid-beta	10/970	39/19370	1.5945882186114667e-05	7	10	0.0036445199618708743	351, 2043, 2932, 3383, 3480, 3676, 4035, 5621, 5641, 23621	A375 Melanoma cells
GO:0001649	BP	e	osteoblast differentiation	17/970	105/19370	1.739828707120078e-05	4	17	0.003904175618777455	657, 847, 1277, 1969, 2194, 3295, 3371, 3376, 3491, 4763, 6422, 6696, 8482, 9902, 10457, 27044, 55366	A375 Melanoma cells
GO:0002181	BP	e	cytoplasmic translation	15/970	85/19370	1.8764060444024567e-05	8	15	0.004135464892859843	3921, 6124, 6128, 6136, 6176, 6188, 6189, 6201, 6208, 6218, 6222, 6224, 6229, 9045, 9349	A375 Melanoma cells
GO:0015804	BP	e	neutral amino acid transport	6/970	13/19370	1.966844500129396e-05	7	6	0.004187703027812515	6510, 8140, 54407, 55117, 81539, 153129	A375 Melanoma cells
GO:1901998	BP	e	toxin transport	10/970	40/19370	2.03134824379686e-05	4	10	0.004187703027812515	102, 3301, 3309, 4040, 6950, 7203, 8829, 8934, 9276, 118429	A375 Melanoma cells
GO:0006906	BP	e	vesicle fusion	10/970	40/19370	2.03134824379686e-05	7	10	0.004187703027812515	2773, 6810, 6845, 8417, 8675, 8773, 10228, 11261, 23208, 23673	A375 Melanoma cells
GO:0008286	BP	e	insulin receptor signaling pathway	12/970	57/19370	2.0358303489608733e-05	8	12	0.004187703027812515	2885, 2932, 3480, 3643, 5770, 5786, 6464, 6720, 8660, 10458, 23433, 23516	A375 Melanoma cells
GO:0008284	BP	e	positive regulation of cell population proliferation	47/970	491/19370	2.1280714561316228e-05	5	47	0.004257448623295518	102, 292, 811, 975, 1399, 1948, 1956, 2065, 2241, 2260, 2264, 2321, 2335, 2771, 3371, 3480, 3572, 3643, 3685, 3688, 3845, 3977, 4041, 4067, 4673, 4851, 5159, 5641, 5970, 6284, 6386, 6422, 6464, 6745, 6810, 6868, 7048, 7057, 7076, 8660, 9180, 9236, 9349, 9928, 11235, 79641, 146433	A375 Melanoma cells
GO:0034976	BP	e	response to endoplasmic reticulum stress	14/970	76/19370	2.1387280395748026e-05	4	14	0.004257448623295518	1938, 1965, 2923, 5034, 7057, 7184, 8720, 8795, 9919, 10087, 10956, 29979, 30001, 51506	A375 Melanoma cells
GO:0007413	BP	e	axonal fasciculation	7/970	19/19370	2.2903549188804958e-05	8	7	0.004486914350606837	2048, 2049, 2909, 4897, 8829, 10371, 27242	A375 Melanoma cells
GO:0034097	BP	e	response to cytokine	11/970	49/19370	2.3691855947550204e-05	4	11	0.004568826345385385	54, 1650, 3572, 3977, 4791, 5970, 6678, 6772, 7076, 7078, 9180	A375 Melanoma cells
GO:0048843	BP	e	negative regulation of axon extension involved in axon guidance	8/970	26/19370	2.676429835994899e-05	11	8	0.005081922620899852	7869, 8482, 8829, 10371, 10501, 10507, 10512, 54910	A375 Melanoma cells
GO:0090611	BP	e	ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway	4/970	5/19370	3.001218476877159e-05	7	4	0.005447211535532044	9525, 10015, 27183, 128866	A375 Melanoma cells
GO:0060666	BP	e	dichotomous subdivision of terminal units involved in salivary gland branching	4/970	5/19370	3.001218476877159e-05	6	4	0.005447211535532044	8829, 10371, 10512, 23129	A375 Melanoma cells
GO:0033591	BP	e	response to L-ascorbic acid	4/970	5/19370	3.001218476877159e-05	7	4	0.005447211535532044	847, 2950, 3673, 6678	A375 Melanoma cells
GO:0045773	BP	e	positive regulation of axon extension	9/970	34/19370	3.219168003073382e-05	10	9	0.0057002953593480185	1627, 2335, 2664, 3897, 4131, 4137, 8482, 29882, 51393	A375 Melanoma cells
GO:0010629	BP	e	negative regulation of gene expression	27/970	225/19370	3.2799377377535e-05	6	27	0.0057002953593480185	91, 102, 351, 493, 657, 1399, 2022, 3949, 4035, 4137, 4179, 4282, 4851, 4853, 5241, 5641, 6422, 7110, 8140, 11117, 11235, 23181, 29882, 29934, 54602, 80762, 91663	A375 Melanoma cells
GO:0048771	BP	e	tissue remodeling	5/970	9/19370	3.317237980044131e-05	2	5	0.0057002953593480185	1464, 3988, 4313, 4323, 5340	A375 Melanoma cells
GO:0010951	BP	e	negative regulation of endopeptidase activity	20/970	144/19370	3.364417874295677e-05	10	20	0.0057002953593480185	2, 12, 334, 351, 462, 1293, 2597, 3053, 3698, 3699, 5037, 5045, 5269, 5270, 5621, 6695, 7076, 7078, 51232, 135228	A375 Melanoma cells
GO:0010288	BP	e	response to lead ion	7/970	20/19370	3.37158937961761e-05	5	7	0.0057002953593480185	351, 847, 4137, 5860, 6678, 8678, 23621	A375 Melanoma cells
GO:0015031	BP	e	protein transport	37/970	357/19370	3.632994036002763e-05	5	37	0.005985209739791271	81, 403, 1277, 2664, 2665, 5538, 5862, 6102, 6284, 6845, 7184, 7879, 8724, 8773, 9367, 9525, 9961, 10015, 10040, 10066, 10067, 10533, 10652, 10807, 10960, 11015, 11021, 11316, 23457, 25930, 29934, 51510, 54997, 55207, 64285, 127829, 146691	A375 Melanoma cells
GO:0046686	BP	e	response to cadmium ion	8/970	27/19370	3.637098772357359e-05	5	8	0.005985209739791271	567, 847, 2805, 2821, 2937, 4864, 5621, 6678	A375 Melanoma cells
GO:0032868	BP	e	response to insulin	13/970	70/19370	3.8250563009167405e-05	7	13	0.006131018813755119	790, 847, 3383, 3692, 4067, 5970, 6272, 6814, 7425, 8836, 54832, 57707, 59341	A375 Melanoma cells
GO:0006898	BP	e	receptor-mediated endocytosis	13/970	70/19370	3.8250563009167405e-05	6	13	0.006131018813755119	160, 950, 1785, 2017, 3339, 3482, 3643, 3949, 4035, 5538, 7048, 9260, 10487	A375 Melanoma cells
GO:0007162	BP	e	negative regulation of cell adhesion	10/970	43/19370	4.007791409115094e-05	5	10	0.006341559175807499	102, 396, 1012, 2048, 2065, 3371, 7045, 10507, 23129, 23654	A375 Melanoma cells
GO:0030970	BP	e	retrograde protein transport, ER to cytosol	6/970	15/19370	5.260695215481123e-05	8	6	0.007945840870141056	550, 7184, 7353, 7415, 10956, 79139	A375 Melanoma cells
GO:0044319	BP	e	wound healing, spreading of cells	6/970	15/19370	5.260695215481123e-05	5	6	0.007945840870141056	960, 2316, 2909, 3491, 11235, 57591	A375 Melanoma cells
GO:0043171	BP	e	peptide catabolic process	6/970	15/19370	5.260695215481123e-05	6	6	0.007945840870141056	290, 1200, 4012, 9520, 29953, 51752	A375 Melanoma cells
GO:2001237	BP	e	negative regulation of extrinsic apoptotic signaling pathway	9/970	36/19370	5.2792007077586014e-05	9	9	0.007945840870141056	90, 2017, 2950, 3655, 3685, 5970, 7057, 8829, 9821	A375 Melanoma cells
GO:0001755	BP	e	neural crest cell migration	10/970	45/19370	6.088332937866156e-05	6	10	0.009053277725198084	90, 309, 3911, 7869, 8482, 10371, 10501, 10507, 10512, 54910	A375 Melanoma cells
GO:0046777	BP	e	protein autophosphorylation	22/970	176/19370	7.168184128833967e-05	8	22	0.010532110537865336	91, 790, 814, 1956, 1965, 2043, 2047, 2049, 2050, 2241, 2260, 2264, 2321, 2932, 3480, 3643, 4067, 4921, 5159, 7301, 7525, 9748	A375 Melanoma cells
GO:0007275	BP	e	multicellular organism development	25/970	212/19370	8.055411840577039e-05	3	25	0.011435364456801328	649, 1010, 1956, 1969, 2042, 2043, 2045, 2047, 2048, 2049, 2050, 2065, 2260, 2264, 2321, 3480, 3643, 4233, 4853, 4919, 4921, 5159, 7301, 8804, 28513	A375 Melanoma cells
GO:0040037	BP	e	negative regulation of fibroblast growth factor receptor signaling pathway	6/970	16/19370	8.060903481945515e-05	7	6	0.011435364456801328	2817, 7057, 10253, 23213, 55959, 81848	A375 Melanoma cells
GO:0051224	BP	e	negative regulation of protein transport	4/970	6/19370	8.644971592240813e-05	7	4	0.011855137710159568	8724, 29934, 54602, 80762	A375 Melanoma cells
GO:1901166	BP	e	neural crest cell migration involved in autonomic nervous system development	4/970	6/19370	8.644971592240813e-05	7	4	0.011855137710159568	2335, 8828, 8829, 10371	A375 Melanoma cells
GO:0006189	BP	e	'de novo' IMP biosynthetic process	4/970	6/19370	8.644971592240813e-05	12	4	0.011855137710159568	158, 471, 5198, 5471	A375 Melanoma cells
GO:0001933	BP	e	negative regulation of protein phosphorylation	13/970	76/19370	9.322835038249412e-05	9	13	0.01264422308154662	1399, 2048, 4040, 4067, 5621, 9043, 9353, 10217, 11261, 91663, 135228, 140885, 199731	A375 Melanoma cells
GO:0030336	BP	e	negative regulation of cell migration	17/970	120/19370	9.96731546632147e-05	7	17	0.01337137037884126	182, 396, 972, 1605, 2022, 2043, 4282, 4763, 5795, 5796, 6422, 7414, 9353, 9370, 10076, 23213, 23380	A375 Melanoma cells
GO:0031953	BP	e	negative regulation of protein autophosphorylation	5/970	11/19370	0.00011179270684011216	10	5	0.01467814455128366	2022, 5167, 9370, 9961, 11261	A375 Melanoma cells
GO:0097062	BP	e	dendritic spine maintenance	5/970	11/19370	0.00011179270684011216	8	5	0.01467814455128366	2017, 3480, 3643, 3675, 5621	A375 Melanoma cells
GO:0031290	BP	e	retinal ganglion cell axon guidance	6/970	17/19370	0.00011931060838041108	5	6	0.01530077541466134	2045, 2047, 2048, 2049, 8829, 9353	A375 Melanoma cells
GO:0060384	BP	e	innervation	6/970	17/19370	0.00011931060838041108	2	6	0.01530077541466134	5270, 9860, 23213, 26018, 55959, 84189	A375 Melanoma cells
GO:0001503	BP	e	ossification	13/970	78/19370	0.00012271162273373094	2	13	0.01530077541466134	54, 649, 1277, 1836, 1956, 4921, 6272, 6678, 9260, 26578, 57045, 170506, 285313	A375 Melanoma cells
GO:0007044	BP	e	cell-substrate junction assembly	3/970	3/19370	0.00012521295712856874	6	3	0.01530077541466134	2335, 3655, 7094	A375 Melanoma cells
GO:1903375	BP	e	facioacoustic ganglion development	3/970	3/19370	0.00012521295712856874	6	3	0.01530077541466134	8828, 8829, 10371	A375 Melanoma cells
GO:0061738	BP	e	late endosomal microautophagy	3/970	3/19370	0.00012521295712856874	5	3	0.01530077541466134	3312, 9525, 27183	A375 Melanoma cells
GO:0044406	BP	e	adhesion of symbiont to host	3/970	3/19370	0.00012521295712856874	3	3	0.01530077541466134	949, 3383, 5819	A375 Melanoma cells
GO:0032869	BP	e	cellular response to insulin stimulus	15/970	100/19370	0.00013126674809967054	8	15	0.01588327652006014	353, 2241, 2805, 2950, 3643, 5167, 5315, 5471, 6548, 6772, 7532, 8660, 9370, 23433, 23516	A375 Melanoma cells
GO:0000045	BP	e	autophagosome assembly	11/970	59/19370	0.00014395860144872963	7	11	0.017249874360002145	5861, 7879, 8678, 9531, 9821, 10533, 23673, 29978, 29979, 60673, 81876	A375 Melanoma cells
GO:0016339	BP	e	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	9/970	41/19370	0.00015683316009787568	5	9	0.018434617732647447	1000, 1010, 1012, 5098, 27032, 28513, 56132, 56133, 57717	A375 Melanoma cells
GO:0031623	BP	e	receptor internalization	9/970	41/19370	0.00015683316009787568	7	9	0.018434617732647447	975, 1173, 1785, 2885, 3688, 4035, 4734, 7037, 7430	A375 Melanoma cells
GO:0070373	BP	e	negative regulation of ERK1 and ERK2 cascade	12/970	70/19370	0.0001682691158107392	9	12	0.019408283768591432	2048, 2950, 4067, 5770, 7078, 7430, 9370, 10253, 11117, 81848, 140885, 161742	A375 Melanoma cells
GO:0007416	BP	e	synapse assembly	11/970	60/19370	0.0001684025250008629	6	11	0.019408283768591432	1000, 1399, 4131, 4897, 8934, 23129, 23767, 56132, 56133, 57717, 84189	A375 Melanoma cells
GO:0006491	BP	e	N-glycan processing	6/970	18/19370	0.0001714068166242478	6	6	0.019408283768591432	2530, 4122, 4124, 5589, 11253, 23193	A375 Melanoma cells
GO:0031589	BP	e	cell-substrate adhesion	6/970	18/19370	0.0001714068166242478	3	6	0.019408283768591432	2047, 3655, 3673, 3678, 3685, 3688	A375 Melanoma cells
