# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0036258	BP	e	multivesicular body assembly	6/410	30/19370	3.3465165587616304e-05	8	6	0.015885656680090787	9146, 9525, 10015, 10254, 27183, 51160
GO:0022617	BP	e	extracellular matrix disassembly	7/410	45/19370	4.0993248429832396e-05	6	7	0.018315287223406557	101, 102, 1515, 3915, 3936, 4318, 100287171
GO:0016197	BP	e	endosomal transport	8/410	61/19370	4.155145375590533e-05	5	8	0.018315287223406557	392, 9146, 9525, 10890, 10938, 27183, 55004, 100287171
GO:0045055	BP	e	regulated exocytosis	5/410	20/19370	4.9448377785315345e-05	7	5	0.02104454753884007	4627, 9144, 10890, 26154, 80331
GO:0070863	BP	e	positive regulation of protein exit from endoplasmic reticulum	4/410	11/19370	5.801990992045053e-05	9	4	0.023869390941273348	975, 6653, 9777, 55754
GO:0150104	BP	e	transport across blood-brain barrier	9/410	84/19370	7.080740661348732e-05	6	9	0.028190484271730987	6509, 6513, 6526, 6541, 6566, 7037, 54407, 81539, 92745
GO:0033627	BP	e	cell adhesion mediated by integrin	5/410	22/19370	8.110869360232871e-05	3	5	0.03033465140727094	3383, 3678, 3688, 3689, 8754
GO:0006672	BP	e	ceramide metabolic process	5/410	22/19370	8.110869360232871e-05	7	5	0.03033465140727094	2529, 5518, 23659, 26154, 64781
GO:1904996	BP	e	positive regulation of leukocyte adhesion to vascular endothelial cell	4/410	12/19370	8.557713775340152e-05	8	4	0.031064501004484754	2529, 3383, 3689, 7124
GO:0033631	BP	e	cell-cell adhesion mediated by integrin	3/410	5/19370	9.121236237838889e-05	4	3	0.03127063823539099	3676, 3688, 8754
GO:0090611	BP	e	ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway	3/410	5/19370	9.121236237838889e-05	7	3	0.03127063823539099	9525, 10015, 27183
GO:0006357	BP	p	regulation of transcription by RNA polymerase II	4/410	1594/19370	1.6474036987301216e-06	10	4	0.002541532056215895	4738, 5216, 7124, 8804
GO:0042470	CC	e	melanosome	28/410	100/19370	1.9012139391318448e-07	8	28	8.737272989926306e-05	302, 483, 1200, 1509, 2040, 2194, 3312, 3688, 3916, 4673, 5034, 5479, 5869, 5878, 5901, 6386, 6509, 6513, 7037, 8836, 9367, 9601, 10015, 10961, 23193, 51393, 55686, 80331
GO:0005770	CC	e	late endosome	19/410	138/19370	2.4207720068503304e-07	8	19	8.737272989926306e-05	21, 3312, 3482, 3916, 5641, 5660, 7852, 7879, 9367, 9482, 9528, 27183, 51150, 51552, 51699, 55737, 57192, 201931, 100287171
GO:0035577	CC	e	azurophil granule membrane	10/410	57/19370	2.8764671218260357e-07	8	10	8.737272989926306e-05	527, 2040, 3916, 4126, 5547, 5660, 5878, 55004, 55754, 80331
GO:0031982	CC	e	vesicle	16/410	160/19370	3.0577377214412714e-07	4	16	8.737272989926306e-05	60, 302, 975, 1072, 2040, 2319, 2597, 2665, 2783, 4282, 7311, 8407, 9482, 23208, 23673, 29952
GO:0005768	CC	e	endosome	29/410	295/19370	3.622086434325325e-07	7	29	8.737272989926306e-05	302, 2319, 2838, 3482, 3560, 3716, 5869, 5878, 6653, 7037, 9110, 9146, 9375, 9402, 9482, 9525, 10890, 23011, 23484, 25930, 27183, 51160, 51699, 53916, 55300, 55361, 55737, 79689, 201931
GO:1904813	CC	e	ficolin-1-rich granule lumen	19/410	124/19370	3.8159282978043706e-07	5	19	8.737272989926306e-05	226, 327, 427, 1509, 1512, 1522, 1938, 3312, 3728, 4282, 4318, 4831, 5223, 5686, 5702, 6727, 7415, 9961, 10549
GO:0010008	CC	e	endosome membrane	30/410	227/19370	3.988233887353525e-07	6	30	8.737272989926306e-05	338, 392, 527, 537, 1509, 3117, 3118, 3482, 3688, 3916, 6653, 7037, 7311, 7323, 7879, 9375, 9525, 10159, 10938, 23062, 23545, 26088, 27183, 51104, 51160, 51296, 51699, 55737, 57192, 80762
GO:0005764	CC	e	lysosome	44/410	275/19370	4.5351507859741656e-07	7	44	8.737272989926306e-05	175, 427, 811, 949, 1200, 1509, 1512, 1515, 1519, 1522, 2517, 2717, 3122, 3312, 3423, 3916, 3988, 4125, 4126, 4758, 4818, 4864, 5641, 5660, 7128, 7805, 7852, 7879, 9146, 9367, 9528, 10159, 10437, 23208, 23324, 23659, 27183, 51552, 55004, 55332, 55737, 57192, 128338, 201931
GO:0035578	CC	e	azurophil granule lumen	19/410	91/19370	4.811906101146595e-07	7	19	8.737272989926306e-05	175, 302, 718, 2171, 2512, 2517, 2665, 2717, 2760, 3074, 4125, 6386, 7415, 8804, 8836, 10576, 29952, 54472, 387921
GO:0031902	CC	e	late endosome membrane	19/410	127/19370	5.129675129957095e-07	7	19	8.737272989926306e-05	302, 3108, 3109, 3122, 3916, 4864, 7879, 9482, 9525, 9528, 11342, 23646, 27183, 51160, 55004, 55686, 57192, 129531, 220002
GO:0031901	CC	e	early endosome membrane	19/410	167/19370	5.48260141980544e-07	7	19	8.737272989926306e-05	3122, 3135, 4040, 5869, 5878, 6653, 9110, 9146, 10254, 10938, 23011, 23062, 23646, 23673, 26088, 51552, 55361, 79689, 100287171
GO:0005765	CC	e	lysosomal membrane	41/410	330/19370	6.4709747261341e-07	7	41	9.45301557909423e-05	21, 302, 527, 949, 972, 1509, 2783, 3108, 3109, 3117, 3118, 3122, 3312, 3916, 4758, 4864, 5660, 5878, 7311, 7805, 7879, 9482, 9528, 10159, 11342, 23208, 23545, 23646, 51296, 51552, 55004, 55332, 55340, 55361, 55686, 55737, 57192, 80331, 128338, 201931, 220002
GO:0043202	CC	e	lysosomal lumen	22/410	95/19370	7.725089821586034e-07	6	22	9.697147915891302e-05	338, 427, 972, 1200, 1509, 1515, 2517, 2717, 2760, 3073, 3074, 3312, 3423, 3988, 4125, 4126, 4758, 5641, 5660, 10437, 23324, 23646
GO:0009986	CC	e	cell surface	45/410	578/19370	7.985044833265475e-07	2	45	9.697147915891302e-05	101, 102, 302, 506, 718, 811, 949, 972, 1236, 1522, 1829, 2023, 2826, 3108, 3122, 3329, 3383, 3482, 3560, 3676, 3678, 3688, 3689, 4040, 4241, 4282, 4851, 4853, 6509, 6653, 6678, 7037, 7070, 7094, 7124, 7852, 8754, 8795, 9601, 10961, 51393, 58494, 145581, 375387, 388512
GO:0042613	CC	e	MHC class II protein complex	6/410	17/19370	8.806930887690554e-07	5	6	9.697147915891302e-05	972, 3108, 3109, 3117, 3118, 3122
GO:0043231	CC	e	intracellular membrane-bounded organelle	55/410	844/19370	8.850791024201987e-07	4	55	9.697147915891302e-05	21, 102, 338, 949, 1512, 1605, 1829, 2319, 2597, 2760, 3073, 3108, 3109, 3988, 4125, 4758, 5479, 5547, 5660, 5869, 6566, 6678, 6782, 7037, 7415, 9057, 9146, 10015, 10066, 10254, 10437, 10938, 11342, 23193, 23659, 23673, 25844, 25930, 26088, 26154, 29110, 29952, 51296, 51552, 51699, 54602, 55750, 57192, 80331, 93185, 128338, 129531, 168537, 220002, 100287171
GO:0034774	CC	e	secretory granule lumen	15/410	115/19370	9.80761964779693e-07	6	15	0.0001011338661328707	226, 718, 1512, 1938, 2665, 3312, 4282, 4831, 5223, 5686, 5702, 6727, 7415, 9961, 10549
GO:0005925	CC	e	focal adhesion	46/410	418/19370	1.0618611772805312e-06	5	46	0.0001028381528254332	60, 102, 391, 527, 811, 975, 998, 1072, 1499, 1605, 2319, 2535, 2665, 2783, 3312, 3383, 3482, 3676, 3678, 3688, 3689, 3716, 3728, 3936, 4627, 4739, 4921, 5034, 5094, 5216, 5479, 6122, 6129, 6133, 6156, 6188, 6223, 6386, 7070, 7094, 8754, 10015, 10890, 23011, 23521, 54914
GO:0000139	CC	e	Golgi membrane	40/410	587/19370	1.1146177431165036e-06	5	40	0.0001028381528254332	102, 972, 998, 2529, 2589, 2734, 3117, 3118, 3122, 3135, 3340, 4121, 4124, 4248, 4851, 4853, 6480, 6513, 6653, 7357, 7903, 9528, 9653, 10329, 10890, 10905, 11226, 11342, 11345, 23315, 23646, 23673, 26154, 51552, 54602, 79689, 80762, 81876, 84885, 113189
GO:0005769	CC	e	early endosome	29/410	268/19370	1.2217085424047724e-06	8	29	0.0001070827537417783	302, 338, 344, 2042, 3135, 3329, 3482, 4040, 4241, 5869, 5878, 6653, 7037, 7852, 9146, 9482, 9777, 10938, 11151, 23011, 25930, 26088, 27183, 51160, 51552, 51699, 55654, 55737, 100287171
GO:0009897	CC	e	external side of plasma membrane	23/410	294/19370	1.3447441498515525e-06	3	23	0.00011205569316860538	811, 930, 972, 1236, 1515, 1605, 2208, 2826, 3135, 3383, 3560, 3688, 3689, 3916, 4065, 5034, 7037, 7070, 7124, 7852, 9466, 10148, 10159
GO:0048471	CC	e	perinuclear region of cytoplasm	41/410	708/19370	1.4062893609294458e-06	2	41	0.00011205569316860538	302, 392, 811, 1019, 1499, 2040, 2319, 2589, 2597, 2783, 3312, 3482, 3688, 3916, 3936, 4831, 4864, 5479, 5641, 6526, 7037, 7415, 7805, 9482, 9961, 10483, 10890, 10938, 11226, 11315, 23208, 23545, 27183, 51552, 51637, 53916, 54472, 54602, 80762, 81876, 201931
GO:0005794	CC	e	Golgi apparatus	53/410	985/19370	1.9026653965062301e-06	5	53	0.0001393839133252767	102, 811, 1200, 2194, 2529, 2589, 2717, 2734, 3340, 3482, 3759, 4040, 4121, 4739, 4864, 5552, 6653, 6857, 7779, 8676, 8910, 8985, 9375, 9452, 9777, 10066, 10329, 10890, 10905, 11226, 11253, 11345, 22931, 23062, 23193, 23315, 23673, 25844, 26088, 29952, 51150, 54602, 55754, 55830, 57192, 57613, 80331, 80762, 81876, 84885, 128338, 168537, 266727
GO:0005912	CC	e	adherens junction	15/410	162/19370	1.9082794750750948e-06	5	15	0.0001393839133252767	60, 102, 302, 1499, 1605, 2319, 3728, 4627, 4851, 6386, 7094, 10611, 10890, 11315, 90952
GO:0005615	CC	e	extracellular space	65/410	1492/19370	2.0489889588398244e-06	2	65	0.0001436751057938485	2, 21, 60, 175, 226, 302, 338, 344, 427, 718, 811, 1072, 1362, 1509, 1512, 1515, 1519, 1522, 1605, 1642, 2023, 2040, 2678, 2783, 3039, 3040, 3135, 3312, 3329, 3383, 3915, 3936, 4049, 4050, 4125, 4241, 4282, 4318, 5055, 5552, 5660, 6361, 6386, 6451, 6653, 6678, 7037, 7124, 7311, 8744, 8754, 8804, 8836, 8985, 9110, 9601, 9860, 10148, 23659, 54910, 56265, 64218, 64374, 147381, 266727
GO:0070062	CC	e	extracellular exosome	186/410	2095/19370	2.513038025975466e-06	6	186	0.00016668014908929993	2, 60, 102, 226, 302, 327, 338, 391, 392, 396, 397, 427, 483, 506, 527, 537, 718, 811, 930, 943, 949, 970, 972, 975, 998, 1072, 1200, 1362, 1499, 1509, 1512, 1522, 1605, 1642, 1794, 1829, 1938, 2023, 2040, 2098, 2171, 2194, 2208, 2319, 2512, 2517, 2597, 2617, 2618, 2665, 2673, 2678, 2717, 2734, 2760, 2783, 3039, 3040, 3073, 3074, 3094, 3122, 3312, 3329, 3336, 3383, 3482, 3676, 3688, 3689, 3728, 3915, 3916, 3936, 3939, 3945, 4065, 4121, 4124, 4125, 4241, 4282, 4318, 4627, 4738, 4758, 4831, 4864, 5034, 5093, 5094, 5216, 5223, 5351, 5479, 5518, 5547, 5641, 5660, 5686, 5688, 5690, 5691, 5720, 5721, 5869, 5878, 5901, 6122, 6156, 6188, 6223, 6230, 6386, 6451, 6509, 6513, 6566, 6624, 6653, 6782, 7037, 7070, 7094, 7128, 7311, 7322, 7323, 7415, 7852, 7879, 8407, 8754, 8775, 8804, 8836, 8985, 9144, 9146, 9367, 9375, 9525, 9528, 9961, 10015, 10066, 10159, 10204, 10382, 10549, 10576, 10606, 10890, 10905, 10938, 11151, 11313, 11315, 23011, 23193, 23324, 23473, 23475, 23646, 23659, 25930, 27183, 29952, 51150, 51160, 51552, 51678, 51768, 54472, 55004, 55737, 65108, 79689, 80146, 81539, 81876, 93185, 113189, 116496, 127262, 129531
GO:0005887	CC	e	integral component of plasma membrane	61/410	1400/19370	2.6325350882193544e-06	4	61	0.00016668014908929993	101, 930, 949, 970, 975, 1880, 2040, 2042, 2208, 2826, 2838, 3117, 3118, 3122, 3383, 3384, 3455, 3459, 3482, 3560, 3759, 3916, 4065, 4818, 4853, 4864, 4921, 6509, 6513, 6526, 6541, 6566, 6653, 7037, 7070, 7124, 7805, 8477, 8698, 8910, 9057, 9123, 9375, 9466, 9482, 10154, 10329, 51063, 51393, 54407, 54910, 55361, 55714, 57181, 57192, 58494, 64218, 79581, 81539, 81793, 92745
GO:0055037	CC	e	recycling endosome	13/410	126/19370	2.778149504796797e-06	8	13	0.00016668014908929993	1200, 3688, 4241, 5901, 6653, 7037, 7124, 9482, 10890, 23208, 51552, 53916, 100287171
GO:0016020	CC	e	membrane	131/410	2116/19370	2.805900338254274e-06	2	131	0.00016668014908929993	60, 102, 226, 293, 302, 396, 397, 506, 590, 811, 972, 975, 998, 1072, 1362, 1499, 1794, 1938, 2023, 2040, 2194, 2319, 2512, 2529, 2589, 2597, 2665, 2734, 2783, 3039, 3040, 3073, 3074, 3108, 3117, 3135, 3295, 3312, 3329, 3336, 3383, 3384, 3482, 3560, 3676, 3688, 3689, 3716, 3916, 3939, 3945, 4047, 4121, 4124, 4627, 4673, 4733, 4758, 4853, 4864, 4976, 5093, 5094, 5216, 5223, 5479, 5518, 5690, 5702, 5721, 5869, 5901, 6129, 6133, 6156, 6188, 6223, 6386, 6509, 6513, 6541, 6566, 6653, 7037, 7357, 8775, 8924, 9110, 9123, 9159, 9375, 9653, 9777, 9961, 10015, 10154, 10528, 10606, 10611, 10905, 10938, 10961, 10985, 11151, 11253, 23193, 23225, 23344, 23521, 23659, 26020, 26088, 27173, 51104, 51150, 51678, 55300, 55361, 55654, 55714, 55750, 55754, 55830, 56889, 57192, 57674, 80331, 81793, 93185, 116496, 284996
GO:0001772	CC	e	immunological synapse	8/410	43/19370	2.852484011796348e-06	2	8	0.00016668014908929993	396, 975, 3122, 3383, 4627, 10015, 11151, 56253
GO:0005576	CC	e	extracellular region	79/410	1840/19370	3.2912068496826494e-06	2	79	0.00018611243895140918	2, 175, 226, 302, 327, 338, 344, 427, 590, 718, 811, 1509, 1512, 1515, 1522, 1605, 1794, 1938, 2042, 2171, 2512, 2517, 2589, 2665, 2717, 2760, 3039, 3040, 3074, 3312, 3455, 3728, 3915, 4040, 4061, 4125, 4241, 4282, 4318, 4758, 4831, 4851, 4853, 4864, 5034, 5055, 5223, 5552, 5641, 5660, 5686, 5702, 6361, 6386, 6480, 6678, 6727, 7037, 7070, 7094, 7124, 7415, 7850, 8407, 8804, 8836, 9961, 10148, 10437, 10549, 10576, 23659, 29952, 54472, 55937, 80762, 266727, 375387, 387921
GO:0005886	CC	e	plasma membrane	175/410	4469/19370	3.410591424765864e-06	3	175	0.000186836461487955	21, 60, 101, 102, 302, 338, 391, 483, 506, 527, 718, 930, 943, 949, 970, 972, 975, 998, 1236, 1362, 1499, 1522, 1605, 1829, 1880, 1938, 2023, 2040, 2042, 2171, 2194, 2208, 2319, 2535, 2597, 2678, 2734, 2826, 2838, 3059, 3094, 3117, 3118, 3122, 3135, 3312, 3329, 3383, 3384, 3455, 3459, 3482, 3560, 3676, 3678, 3688, 3689, 3728, 3759, 3782, 3916, 3936, 4040, 4049, 4050, 4061, 4126, 4241, 4282, 4627, 4739, 4758, 4818, 4851, 4853, 4921, 5055, 5547, 5660, 5869, 5878, 6004, 6188, 6386, 6509, 6513, 6526, 6541, 6566, 6653, 6678, 6857, 7037, 7070, 7094, 7124, 7311, 7323, 7345, 7779, 7850, 7852, 7879, 8477, 8676, 8698, 8744, 8775, 8795, 8809, 8910, 8924, 9057, 9123, 9367, 9402, 9452, 9466, 9528, 9860, 10052, 10148, 10154, 10159, 10243, 10890, 10938, 11151, 11315, 22931, 23208, 23344, 23545, 25844, 26154, 27173, 27183, 50615, 51104, 51150, 51160, 51393, 51552, 51678, 51768, 53916, 54407, 55004, 55300, 55361, 55654, 55754, 55914, 56253, 57048, 57192, 57228, 58494, 64115, 64218, 64781, 65108, 79037, 79581, 79689, 80331, 81539, 81793, 84102, 90952, 92745, 93185, 116496, 266727, 375387
GO:0016021	CC	e	integral component of membrane	120/410	3500/19370	3.533379581226716e-06	3	120	0.000187697406239104	21, 102, 293, 527, 537, 943, 972, 975, 1236, 1362, 1605, 1829, 2529, 2535, 2589, 2678, 2734, 3108, 3109, 3340, 3455, 3459, 3782, 4040, 4050, 4121, 4124, 4248, 4851, 4864, 4976, 6480, 6509, 6513, 6526, 6566, 6653, 7357, 7779, 7850, 7852, 7903, 8676, 8744, 8754, 8795, 9123, 9144, 9452, 9482, 9528, 9653, 9766, 9777, 9860, 10052, 10066, 10159, 10558, 10905, 11226, 11253, 11342, 23225, 23315, 23484, 23545, 23646, 23673, 25758, 25844, 25864, 26001, 26020, 26154, 27173, 29015, 50615, 51296, 51768, 54602, 54914, 55069, 55281, 55326, 55332, 55340, 55654, 55754, 55830, 56253, 56889, 57048, 57192, 57228, 57613, 64115, 64781, 79037, 79134, 79689, 80146, 80762, 81539, 84102, 84548, 84641, 84885, 90952, 93185, 113189, 116254, 128338, 201931, 220002, 284996, 285368, 375387, 388512, 391059
GO:0045121	CC	e	membrane raft	18/410	240/19370	3.883489668151527e-06	4	18	0.0001965189503047663	302, 930, 1200, 1509, 1938, 2040, 3329, 3383, 3688, 3945, 4864, 6386, 7070, 7124, 11315, 23673, 55004, 55361
GO:0005829	CC	e	cytosol	162/410	5286/19370	3.923652744248043e-06	2	162	0.0001965189503047663	60, 226, 302, 327, 338, 391, 392, 396, 397, 811, 998, 1019, 1072, 1499, 1512, 1605, 1794, 1938, 2023, 2042, 2098, 2171, 2194, 2512, 2597, 2617, 2618, 2665, 2673, 2760, 2783, 2935, 3039, 3040, 3059, 3073, 3094, 3295, 3312, 3329, 3560, 3716, 3728, 3839, 3916, 3936, 3939, 3945, 3988, 4121, 4282, 4627, 4733, 4738, 4739, 4831, 4851, 4976, 5034, 5093, 5094, 5216, 5223, 5366, 5518, 5534, 5686, 5688, 5690, 5691, 5702, 5720, 5721, 5901, 6122, 6129, 6133, 6156, 6188, 6197, 6223, 6230, 6386, 6513, 6624, 6727, 7070, 7094, 7128, 7311, 7322, 7323, 7345, 7415, 7805, 7879, 8407, 8775, 8836, 8924, 9110, 9146, 9367, 9402, 9482, 9525, 9817, 9961, 10015, 10204, 10243, 10254, 10382, 10437, 10483, 10537, 10549, 10576, 10606, 10611, 10890, 10985, 11151, 11313, 11315, 11342, 11345, 22931, 23011, 23473, 23475, 23521, 25930, 26088, 26154, 27183, 29110, 29952, 51160, 51552, 51637, 51699, 54472, 55300, 55361, 55737, 55750, 56829, 57048, 57674, 63893, 79077, 80331, 80349, 80774, 81876, 83988, 91754, 116496, 152137, 168537, 100287171
GO:0072562	CC	e	blood microparticle	12/410	112/19370	4.518208690402953e-06	2	12	0.0002200116620632327	2, 60, 590, 718, 2040, 3039, 3040, 3312, 5216, 6386, 6513, 7037
GO:0005856	CC	e	cytoskeleton	24/410	400/19370	5.130398759338957e-06	5	24	0.0002430699736519241	60, 391, 396, 397, 1605, 1794, 2040, 2734, 3094, 3716, 3728, 5034, 5216, 6386, 6624, 7094, 8407, 8910, 9375, 9961, 10243, 10890, 57613, 65108
GO:0005811	CC	e	lipid droplet	11/410	96/19370	5.8734703125197e-06	5	11	0.0002709524594170272	302, 338, 2597, 4047, 5878, 7415, 7879, 9144, 10938, 22931, 168537
GO:0005790	CC	e	smooth endoplasmic reticulum	6/410	26/19370	1.393936325857586e-05	6	6	0.000619694926201318	338, 811, 3759, 5479, 10549, 10961
GO:0030669	CC	e	clathrin-coated endocytic vesicle membrane	9/410	69/19370	1.4409260288064811e-05	8	9	0.000619694926201318	338, 972, 2535, 3117, 3118, 3122, 3482, 6857, 7037
GO:0000502	CC	e	proteasome complex	8/410	53/19370	1.4493720464491748e-05	5	8	0.000619694926201318	5686, 5688, 5690, 5691, 5702, 5720, 5721, 7415
GO:0032585	CC	e	multivesicular body membrane	5/410	16/19370	1.4940031155455619e-05	8	5	0.0006235684432265167	21, 6653, 9146, 54602, 55340
GO:0030658	CC	e	transport vesicle membrane	7/410	39/19370	1.549823620563384e-05	6	7	0.0006318234434529331	972, 3117, 3118, 3122, 6653, 26154, 55754
GO:0055038	CC	e	recycling endosome membrane	10/410	89/19370	1.8554422936240025e-05	7	10	0.0007392250774370173	3135, 6653, 10066, 10890, 10938, 23208, 23673, 51104, 51552, 100287171
GO:0030670	CC	e	phagocytic vesicle membrane	9/410	72/19370	2.0464448341972363e-05	7	9	0.0007972039542995011	527, 811, 3135, 7879, 9367, 10890, 11151, 23545, 57192
GO:0012505	CC	e	endomembrane system	12/410	130/19370	2.094849409527591e-05	2	12	0.000798319785848232	5869, 5878, 8676, 9482, 10483, 22931, 23011, 23673, 26001, 51552, 55326, 81876
GO:0071556	CC	e	integral component of lumenal side of endoplasmic reticulum membrane	6/410	28/19370	2.2007059872585298e-05	6	6	0.0008208165097157878	811, 972, 3117, 3118, 3122, 3135
GO:0016323	CC	e	basolateral plasma membrane	16/410	226/19370	2.721542995248909e-05	4	16	0.000993930181389862	302, 483, 975, 1499, 1605, 2319, 2760, 6513, 6541, 6566, 7037, 8754, 9057, 9123, 55914, 81539
GO:0071682	CC	e	endocytic vesicle lumen	5/410	18/19370	2.8298313488625957e-05	5	5	0.0010123866029706388	338, 811, 3039, 3040, 6678
GO:0005788	CC	e	endoplasmic reticulum lumen	19/410	306/19370	3.097809448849961e-05	5	19	0.0010860919927667965	102, 338, 590, 718, 811, 1522, 1605, 2098, 3915, 4241, 5034, 5479, 5954, 8985, 9601, 10148, 10961, 23193, 64374
GO:0022626	CC	e	cytosolic ribosome	9/410	76/19370	3.179661535758637e-05	6	9	0.001092930720036253	6122, 6129, 6133, 6156, 6188, 6223, 6230, 7311, 23521
GO:0005802	CC	e	trans-Golgi network	14/410	181/19370	3.2700625074337283e-05	4	14	0.0011023883799098704	102, 2529, 3482, 6653, 8985, 9159, 9482, 10890, 23011, 23062, 23208, 51552, 55300, 55361
GO:0045335	CC	e	phagocytic vesicle	8/410	64/19370	5.909651152086792e-05	8	8	0.0019546449942656877	998, 7879, 9367, 9482, 11151, 23208, 23673, 51552
