# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0035578	CC	e	azurophil granule lumen	13/221	91/19370	9.701367262941081e-07	7	13	0.00011337664541290477	302, 1075, 2519, 2717, 3074, 4125, 5476, 5707, 6386, 8804, 10493, 10576, 387921
GO:0043231	CC	e	intracellular membrane-bounded organelle	29/221	844/19370	1.3460121728021605e-06	4	29	0.0001474724586826367	102, 338, 490, 949, 967, 1075, 1315, 1520, 1829, 2319, 2548, 2597, 3988, 4125, 5476, 5621, 5868, 5869, 6566, 6782, 7037, 8878, 9343, 9516, 11342, 23042, 23193, 51374, 51552
GO:1904813	CC	e	ficolin-1-rich granule lumen	10/221	124/19370	1.6022930898082218e-06	5	10	0.00016522469331963605	327, 1509, 1520, 1522, 1654, 1915, 3303, 3320, 3848, 5223
GO:0016020	CC	e	membrane	92/221	2116/19370	1.9930089028274005e-06	2	92	0.00019409692259202406	16, 60, 102, 302, 308, 334, 397, 476, 490, 515, 684, 805, 972, 976, 998, 1072, 1075, 1209, 1315, 1362, 1537, 1915, 2023, 2040, 2319, 2548, 2597, 3074, 3178, 3181, 3320, 3329, 3482, 3560, 3848, 3857, 3858, 3939, 3949, 3959, 4012, 4627, 4670, 4864, 5093, 5094, 5213, 5216, 5223, 5230, 5245, 5339, 5476, 5518, 5707, 5869, 5901, 6133, 6144, 6156, 6161, 6181, 6184, 6185, 6187, 6207, 6217, 6386, 6513, 6520, 6566, 6597, 6653, 7037, 7162, 7184, 7416, 7417, 8661, 9110, 9123, 9343, 9361, 10211, 10606, 10856, 11182, 23193, 51293, 55830, 57532, 79585
GO:0031982	CC	e	vesicle	11/221	160/19370	2.330573978343396e-06	4	11	0.00020389259194312413	60, 302, 805, 1072, 2040, 2319, 2597, 3303, 7086, 7311, 9218
GO:0022626	CC	e	cytosolic ribosome	8/221	76/19370	2.44972458509542e-06	6	8	0.00020389259194312413	6133, 6144, 6156, 6161, 6187, 6207, 6217, 7311
GO:0005886	CC	e	plasma membrane	92/221	4469/19370	2.517663501316011e-06	3	92	0.00020389259194312413	60, 102, 248, 302, 334, 338, 391, 476, 490, 527, 684, 720, 805, 933, 949, 967, 972, 976, 998, 1315, 1362, 1522, 1654, 1829, 1915, 2023, 2040, 2195, 2208, 2319, 2548, 2597, 2826, 3094, 3122, 3303, 3315, 3320, 3329, 3482, 3560, 3673, 3675, 3897, 3949, 3977, 4012, 4233, 4627, 4851, 5245, 5339, 5621, 5868, 5869, 5878, 6386, 6513, 6520, 6566, 6653, 7037, 7124, 7162, 7184, 7311, 7412, 7416, 7431, 7879, 8649, 8795, 8910, 9123, 9218, 9516, 10211, 11182, 11315, 23586, 51293, 51374, 51552, 51599, 55004, 55240, 55644, 64855, 65108, 144195, 203328, 257144
GO:0005912	CC	e	adherens junction	11/221	162/19370	2.630849905668325e-06	5	11	0.00020389259194312413	60, 102, 302, 2319, 3875, 4627, 4851, 6386, 10211, 11315, 64855
GO:0005615	CC	e	extracellular space	38/221	1492/19370	2.6751452451180007e-06	2	38	0.00020389259194312413	60, 302, 338, 522, 720, 967, 1072, 1073, 1075, 1362, 1509, 1520, 1522, 1915, 2023, 2040, 2519, 3315, 3329, 3848, 3857, 3858, 3959, 4125, 5230, 6386, 6597, 6653, 7037, 7124, 7167, 7311, 7412, 8804, 9110, 9518, 147381, 646960
GO:0005829	CC	e	cytosol	102/221	5286/19370	2.9586987563880447e-06	2	102	0.00021610828833117676	16, 60, 302, 308, 327, 338, 391, 397, 440, 684, 998, 1072, 1315, 1654, 1915, 2023, 2107, 2288, 2597, 2618, 2634, 2936, 3094, 3303, 3315, 3320, 3329, 3434, 3560, 3839, 3848, 3856, 3857, 3858, 3875, 3939, 3988, 4000, 4012, 4627, 4729, 4738, 4851, 5093, 5094, 5213, 5216, 5223, 5230, 5339, 5518, 5621, 5707, 5868, 5901, 6133, 6144, 6156, 6161, 6181, 6184, 6187, 6207, 6217, 6386, 6455, 6499, 6513, 6950, 7086, 7167, 7184, 7295, 7311, 7431, 7453, 7805, 7879, 8661, 8662, 8878, 9110, 9218, 9343, 9361, 9748, 10576, 10591, 10606, 10856, 11315, 11342, 23586, 26227, 51056, 51552, 55737, 56647, 57532, 63893, 64855, 79585
GO:0005768	CC	e	endosome	14/221	295/19370	7.914254725749495e-06	7	14	0.0005519531928859753	302, 476, 2319, 3482, 3560, 5868, 5869, 5878, 6653, 7037, 9110, 10211, 55240, 55737
GO:0045335	CC	e	phagocytic vesicle	7/221	64/19370	8.186413585302542e-06	8	7	0.0005519531928859753	998, 1520, 5868, 6504, 7431, 7879, 51552
GO:1990904	CC	e	ribonucleoprotein complex	10/221	153/19370	1.0570415192758821e-05	2	10	0.0006862939938113412	60, 2597, 3178, 3181, 3303, 4670, 7431, 9343, 10856, 23586
GO:0016323	CC	e	basolateral plasma membrane	12/221	226/19370	1.1682197293674839e-05	4	12	0.0007313889948504282	302, 476, 490, 2319, 3675, 3949, 6513, 6520, 6566, 7037, 9123, 10211
GO:0030669	CC	e	clathrin-coated endocytic vesicle membrane	7/221	69/19370	1.354806224132973e-05	8	7	0.0008189570037603799	338, 972, 3122, 3482, 3949, 5868, 7037
GO:0070821	CC	e	tertiary granule membrane	7/221	73/19370	1.9686015955436734e-05	7	7	0.0011503195323293532	102, 527, 1315, 2040, 2548, 8649, 51552
GO:0042383	CC	e	sarcolemma	8/221	101/19370	2.0571909681694183e-05	4	8	0.0011633083120003195	302, 476, 3856, 5339, 6513, 7412, 8910, 10211
GO:0005576	CC	e	extracellular region	41/221	1840/19370	3.923734228404529e-05	2	41	0.00214353734624131	248, 302, 308, 327, 338, 720, 1075, 1509, 1520, 1522, 1654, 1690, 1915, 2519, 2717, 3074, 3303, 3320, 3848, 3959, 4012, 4125, 4233, 4851, 4864, 5223, 5476, 5641, 5707, 6386, 7037, 7124, 7184, 7295, 8804, 9518, 10493, 10576, 80762, 117159, 387921
GO:0016363	CC	e	nuclear matrix	8/221	111/19370	4.0772591912140696e-05	2	8	0.00214353734624131	1072, 1073, 3181, 3856, 4000, 4670, 7431, 10856
GO:0022625	CC	e	cytosolic large ribosomal subunit	6/221	56/19370	4.157459770234144e-05	5	6	0.00214353734624131	6133, 6144, 6156, 6161, 6181, 7311
GO:0005887	CC	e	integral component of plasma membrane	33/221	1400/19370	6.51667109168414e-05	4	33	0.0032639212639206565	490, 933, 949, 967, 976, 1209, 2040, 2195, 2208, 2826, 3122, 3482, 3560, 3949, 3977, 4012, 4233, 4864, 5245, 6513, 6566, 6653, 7037, 7124, 7162, 7412, 7805, 8402, 8910, 9123, 10165, 29967, 51293
GO:0031902	CC	e	late endosome membrane	8/221	127/19370	0.00010593199871606304	7	8	0.005158299826368292	302, 967, 3122, 4864, 7879, 11342, 23646, 55004
GO:0031901	CC	e	early endosome membrane	9/221	167/19370	0.0001311421338763867	7	9	0.006213301640143403	3122, 5868, 5869, 5878, 6455, 6653, 9110, 23646, 51552
GO:0042645	CC	e	mitochondrial nucleoid	5/221	44/19370	0.00013967201607645107	5	5	0.006443290636368913	3313, 6742, 7416, 7417, 9361
GO:0000276	CC	e	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	3/221	10/19370	0.00016572422932359618	5	3	0.007449091641134976	515, 521, 522
GO:0005770	CC	e	late endosome	8/221	138/19370	0.00018843245351020656	8	8	0.008258052275084802	1520, 3482, 3949, 5641, 7879, 8878, 51552, 55737
GO:0005739	CC	e	mitochondrion	30/221	1300/19370	0.00021002738576538177	5	30	0.008979951396261324	16, 515, 521, 522, 1329, 1537, 1738, 2040, 2288, 2936, 3303, 3313, 3320, 3329, 4729, 5245, 5518, 6742, 6782, 7388, 7416, 7417, 8402, 8878, 9361, 10165, 11315, 55737, 80273, 401505
GO:0001931	CC	e	uropod	3/221	12/19370	0.0002987396915584372	4	3	0.01246882569766525	2319, 4627, 10211
GO:0062023	CC	e	collagen-containing extracellular matrix	13/221	374/19370	0.00038277881740936775	4	13	0.014704060136622713	302, 308, 1075, 1509, 1520, 1522, 1690, 3848, 3897, 3959, 4670, 7184, 9518
GO:0034362	CC	e	low-density lipoprotein particle	3/221	13/19370	0.0003850986474318525	5	3	0.014704060136622713	338, 3949, 51599
GO:0046930	CC	e	pore complex	3/221	13/19370	0.0003850986474318525	3	3	0.014704060136622713	102, 7416, 7417
GO:0098559	CC	e	cytoplasmic side of early endosome membrane	2/221	3/19370	0.00038584527454914135	5	2	0.014704060136622713	5868, 9516
GO:0005783	CC	e	endoplasmic reticulum	25/221	1037/19370	0.00040836826324522406	5	25	0.015231267350401655	476, 1522, 2040, 2826, 3303, 4864, 5476, 5621, 6144, 6184, 6185, 6653, 6782, 6892, 7162, 7184, 7311, 7412, 8878, 9218, 11315, 11342, 51293, 80762, 646960
GO:0005737	CC	e	cytoplasm	76/221	4648/19370	0.0004627258177167201	2	76	0.016899132467862715	16, 60, 102, 302, 308, 338, 397, 684, 805, 933, 949, 972, 998, 1072, 1073, 1654, 1915, 2023, 2107, 2288, 2597, 2634, 2717, 3094, 3178, 3181, 3303, 3313, 3315, 3320, 3329, 3434, 3856, 3858, 3875, 4012, 4627, 4670, 4738, 5093, 5094, 5216, 5223, 5245, 5339, 5518, 5621, 5641, 5868, 5901, 6386, 6455, 6782, 7295, 7311, 7431, 7453, 8661, 8878, 9110, 9221, 9518, 9748, 10606, 10856, 11315, 23586, 26001, 26472, 55240, 55644, 57532, 63893, 64855, 65108, 257144
GO:0030139	CC	e	endocytic vesicle	5/221	59/19370	0.0005605719917266413	7	5	0.02005474901013882	2319, 3482, 5868, 5869, 5878
GO:0005856	CC	e	cytoskeleton	13/221	400/19370	0.0007178341279115106	5	13	0.02516726452457756	60, 391, 397, 2040, 3094, 3315, 3848, 5216, 6386, 7431, 8910, 30968, 65108
GO:0005811	CC	e	lipid droplet	6/221	96/19370	0.0008134315786786606	5	6	0.02795971681222926	302, 338, 2597, 5878, 7879, 9144
GO:0030667	CC	e	secretory granule membrane	6/221	97/19370	0.0008589417801759712	6	6	0.02895624885862457	391, 976, 1315, 3482, 5869, 7879
GO:0005753	CC	e	mitochondrial proton-transporting ATP synthase complex	3/221	17/19370	0.0008852738288155309	5	3	0.029280849470068405	515, 521, 522
GO:0071682	CC	e	endocytic vesicle lumen	3/221	18/19370	0.0010534272708553733	5	3	0.03419737047795313	338, 3320, 7184
GO:0000139	CC	e	Golgi membrane	16/221	587/19370	0.0011965032404904828	5	16	0.036891335745738496	102, 972, 998, 1315, 2634, 3122, 4851, 6513, 6653, 6892, 9516, 11342, 23646, 51552, 79585, 80762
GO:0005771	CC	e	multivesicular body	4/221	41/19370	0.0011995471406201336	9	4	0.036891335745738496	684, 972, 6653, 55240
GO:0022627	CC	e	cytosolic small ribosomal subunit	4/221	41/19370	0.0011995471406201336	5	4	0.036891335745738496	6187, 6207, 6217, 7311
GO:0071986	CC	e	Ragulator complex	2/221	5/19370	0.0012668597643448961	3	2	0.03764076554062039	8649, 55004
GO:0036021	CC	e	endolysosome lumen	2/221	5/19370	0.0012668597643448961	7	2	0.03764076554062039	1520, 5641
GO:0005882	CC	e	intermediate filament	6/221	107/19370	0.001429936250083515	6	6	0.041268668851519405	3856, 3857, 3858, 3875, 5339, 7431
GO:0001772	CC	e	immunological synapse	4/221	43/19370	0.00143604609238031	2	4	0.041268668851519405	490, 3122, 4627, 30968
GO:0016234	CC	e	inclusion body	3/221	21/19370	0.0016742301552142534	3	3	0.047337507453073975	3303, 5621, 8878
GO:0005901	CC	e	caveola	5/221	76/19370	0.0017692079616157693	6	5	0.049228913598610216	476, 949, 2319, 6513, 10211
GO:0044183	MF	e	protein folding chaperone	7/221	36/19370	1.4421189594620665e-07	1	7	0.0006390029109376417	972, 3303, 3313, 3315, 6782, 6950, 10576
GO:0051082	MF	e	unfolded protein binding	11/221	110/19370	5.29043736970799e-07	3	11	0.0010666615959963504	3303, 3313, 3320, 3329, 6782, 6892, 6950, 7184, 10576, 10856, 80273
GO:0045296	MF	e	cadherin binding	18/221	315/19370	7.221811753529792e-07	4	18	0.0010666615959963504	1654, 2023, 3303, 3939, 4627, 5093, 5216, 5339, 5901, 6187, 6455, 6520, 9218, 9748, 10606, 11315, 23042, 64855
GO:0003723	MF	e	RNA binding	53/221	1384/19370	1.0999249655766377e-06	4	53	0.0010861138859237268	302, 327, 684, 1654, 1915, 2023, 2107, 2288, 3006, 3008, 3178, 3181, 3303, 3313, 3315, 3320, 3329, 3434, 3875, 4627, 4670, 5093, 5094, 5216, 5339, 5901, 6133, 6144, 6156, 6161, 6184, 6187, 6207, 6217, 6499, 6520, 6597, 6742, 6950, 7037, 7184, 7295, 8402, 8661, 8662, 9123, 9221, 9343, 23193, 56647, 57532, 63893, 117159
GO:0042802	MF	e	identical protein binding	43/221	1491/19370	1.2255855178557062e-06	3	43	0.0010861138859237268	60, 302, 327, 334, 440, 684, 949, 972, 998, 1075, 2040, 2597, 2634, 3074, 3315, 3320, 3482, 3939, 3949, 4233, 4627, 4851, 5213, 5621, 6386, 6455, 6504, 6513, 6566, 6742, 7037, 7124, 7431, 8878, 9361, 9748, 10165, 10591, 10606, 10856, 11315, 23586, 80273
GO:0031625	MF	e	ubiquitin protein ligase binding	15/221	295/19370	1.5987987419176675e-06	5	15	0.0011807128709061974	527, 3303, 3313, 3320, 3329, 4738, 5094, 5707, 6950, 7167, 7311, 7805, 8878, 10576, 23586
GO:0005515	MF	e	protein binding	189/221	12368/19370	2.8198199651632326e-06	2	189	0.0017849460379483263	60, 102, 248, 302, 308, 327, 334, 338, 391, 397, 440, 476, 490, 515, 521, 522, 527, 684, 805, 933, 949, 967, 972, 976, 998, 1072, 1073, 1075, 1209, 1315, 1329, 1509, 1522, 1537, 1654, 1690, 1738, 1915, 2023, 2040, 2107, 2195, 2208, 2288, 2319, 2519, 2597, 2634, 2717, 2826, 3006, 3008, 3074, 3094, 3122, 3178, 3181, 3303, 3313, 3315, 3320, 3329, 3434, 3482, 3560, 3673, 3675, 3839, 3848, 3856, 3858, 3875, 3897, 3939, 3949, 3959, 3977, 4000, 4012, 4233, 4627, 4670, 4729, 4738, 4851, 4864, 5093, 5094, 5213, 5216, 5223, 5230, 5245, 5339, 5518, 5621, 5707, 5868, 5869, 5878, 5901, 6133, 6144, 6156, 6181, 6184, 6185, 6187, 6207, 6217, 6386, 6455, 6499, 6504, 6513, 6520, 6566, 6597, 6653, 6742, 6782, 6892, 6950, 7037, 7086, 7124, 7167, 7184, 7295, 7311, 7388, 7416, 7417, 7431, 7453, 7805, 7879, 8402, 8649, 8661, 8662, 8795, 8878, 9110, 9123, 9144, 9218, 9221, 9343, 9361, 9516, 9518, 9555, 9748, 10211, 10493, 10576, 10591, 10606, 10856, 11098, 11182, 11315, 11342, 23193, 23586, 23646, 26001, 29967, 30968, 51056, 51293, 51374, 51552, 55004, 55240, 55644, 55737, 56647, 57532, 63893, 64855, 65108, 79585, 80273, 80762, 117159, 203328, 257144
GO:0043531	MF	e	ADP binding	6/221	37/19370	3.5656407606433968e-06	8	6	0.0019749192763013615	476, 3008, 4627, 5230, 9361, 10856
GO:0002020	MF	e	protease binding	8/221	103/19370	2.373534899944542e-05	4	8	0.009951375064680959	248, 302, 2319, 3675, 3949, 5621, 7124, 10211
GO:0001618	MF	e	virus receptor activity	7/221	76/19370	2.5660930596411544e-05	3	7	0.009951375064680959	949, 3303, 3673, 3949, 4864, 6504, 7037
GO:0046933	MF	e	proton-transporting ATP synthase activity, rotational mechanism	4/221	16/19370	2.6950237141993116e-05	8	4	0.009951375064680959	515, 521, 522, 527
GO:0042803	MF	e	protein homodimerization activity	21/221	670/19370	2.926545260280223e-05	4	21	0.009975016960232052	102, 684, 2023, 2040, 2634, 2717, 3315, 3320, 4627, 6742, 7037, 7086, 7167, 7295, 7453, 9518, 9748, 10591, 10856, 11315, 80273
GO:0051020	MF	e	GTPase binding	5/221	35/19370	4.538141383143784e-05	4	5	0.014363217477650077	2023, 3320, 6455, 30968, 55004
GO:0003925	MF	e	G protein activity	5/221	39/19370	7.755727506393275e-05	8	5	0.020501612609550437	998, 5868, 5869, 5878, 7879
GO:0031492	MF	e	nucleosomal DNA binding	5/221	39/19370	7.755727506393275e-05	6	5	0.020501612609550437	60, 3006, 3008, 6597, 9555
GO:0033300	MF	e	dehydroascorbic acid transmembrane transporter activity	3/221	8/19370	7.865660446002198e-05	6	3	0.020501612609550437	6513, 11182, 144195
GO:0003735	MF	e	structural constituent of ribosome	9/221	158/19370	8.589887780015122e-05	2	9	0.02114544041847056	6133, 6144, 6156, 6161, 6181, 6187, 6207, 6217, 7311
GO:0003924	MF	e	GTPase activity	13/221	326/19370	0.00010036062937487059	7	13	0.023405155197897452	391, 397, 998, 1654, 1915, 2634, 5868, 5869, 5878, 5901, 7879, 9343, 51552
GO:0019904	MF	e	protein domain specific binding	11/221	245/19370	0.00012309137741444746	3	11	0.027270894666170838	476, 805, 3178, 3675, 3897, 4627, 4670, 7431, 7453, 9218, 9221
GO:0019003	MF	e	GDP binding	6/221	74/19370	0.00020003589703718798	8	6	0.04028904817144454	5868, 5869, 5878, 5901, 7879, 51552
GO:0000981	MF	p	DNA-binding transcription factor activity, RNA polymerase II-specific	1/221	1236/19370	1.8732168168418027e-05	3	1	0.009222470794917809	5093
GO:0000978	MF	p	RNA polymerase II cis-regulatory region sequence-specific DNA binding	2/221	1173/19370	0.00018246657004969798	9	2	0.038500446280486274	9516, 10856
